s,k,res,s2,acc
128,10,0.8,16,0.305344
128,10,0.8,24,0.305344
128,10,0.8,32,0.305344
128,10,0.8,48,0.305344
128,10,0.8,64,0.305344
128,10,0.8,96,0.305344
128,10,0.8,128,0.305344
128,10,0.8,192,0.305344
128,10,0.8,256,0.305344
128,10,0.9,3,0.305344
128,10,0.9,5,0.305344
128,10,0.9,8,0.305344
128,10,0.9,16,0.305344
128,10,0.9,24,0.305344
128,10,0.9,32,0.305344
128,10,0.9,48,0.305344
128,10,0.9,64,0.305344
128,10,0.9,96,0.305344
128,10,0.9,128,0.305344
128,10,0.9,192,0.305344
128,10,0.9,256,0.305344
128,10,1.0,3,0.706454
128,10,1.0,5,0.707495
128,10,1.0,8,0.710965
128,10,1.0,16,0.716169
128,10,1.0,24,0.697779
128,10,1.0,32,0.703331
128,10,1.0,48,0.712353
128,10,1.0,64,0.759195
128,10,1.0,96,0.690146
128,10,1.0,128,0.684247
128,10,1.0,192,0.652325
128,10,1.0,256,0.674185
128,10,1.1,3,0.706454
128,10,1.1,5,0.707495
128,10,1.1,8,0.710965
128,10,1.1,16,0.716169
128,10,1.1,24,0.697779
128,10,1.1,32,0.703331
128,10,1.1,48,0.712353
128,10,1.1,64,0.759195
128,10,1.1,96,0.690146
128,10,1.1,128,0.684247
128,10,1.1,192,0.652325
128,10,1.1,256,0.674185
128,10,1.2,3,0.706454
128,10,1.2,5,0.707495
128,10,1.2,8,0.710965
128,10,1.2,16,0.716169
128,10,1.2,24,0.697779
128,10,1.2,32,0.703331
128,10,1.2,48,0.712353
128,10,1.2,64,0.759195
128,10,1.2,96,0.690146
128,10,1.2,128,0.684247
128,10,1.2,192,0.652325
128,10,1.2,256,0.674185
128,10,1.3,3,0.706454
128,10,1.3,5,0.707495
128,10,1.3,8,0.710965
128,10,1.3,16,0.716169
128,10,1.3,24,0.697779
128,10,1.3,32,0.703331
128,10,1.3,48,0.712353
128,10,1.3,64,0.759195
128,10,1.3,96,0.690146
128,10,1.3,128,0.684247
128,10,1.3,192,0.652325
128,10,1.3,256,0.674185
128,10,1.4,3,0.706454
128,10,1.4,5,0.707495
128,10,1.4,8,0.710965
128,10,1.4,16,0.716169
128,10,1.4,24,0.697779
128,10,1.4,32,0.703331
